"Estacao";"Data";"Hora";"Precipitacao";"TempMaxima";"TempMinima";"Insolacao";"Evaporacao.Piche";"Temp.Comp.Media";"Umidade.Relativa.Media";"Velocidade.do.Vento.Media";"X";"estacao";"lat";"long";"alt"
82989;"08/02/1977";0;NA;28,5;NA;9,4;NA;23,28;70,25;6,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"08/02/1977";1200;0;NA;18,9;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"09/02/1977";0;NA;28,5;NA;5,5;NA;23,28;72;6,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"09/02/1977";1200;0;NA;18,5;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"10/02/1977";0;NA;28,9;NA;8,6;NA;23,14;69,5;5;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"10/02/1977";1200;0;NA;19,5;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"11/02/1977";0;NA;29,4;NA;8,9;NA;23,32;71,25;6,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"11/02/1977";1200;0;NA;19;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"12/02/1977";0;NA;27,8;NA;5,2;NA;22,92;76,25;6,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"12/02/1977";1200;0;NA;19,4;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"13/02/1977";0;NA;26,9;NA;5,7;NA;22,26;81;6,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"13/02/1977";1200;1,6;NA;18,9;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"14/02/1977";0;NA;29,9;NA;6;NA;23,6;75;5,666667;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"14/02/1977";1200;0;NA;19,9;NA;NA;NA;NA;NA;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
82989;"15/02/1977";0;NA;30,8;NA;9,3;NA;24,42;71,25;5,333333;NA;"AGUA BRANCA - AL ";"-9.28";"-37.9";"605.34"
